task_id,query,types,revised_types
349,"What fraction of the buildings present before the event are missing afterward (destroyed), expressed as a percentage?",M2,
350,What is the average ground area of the no-damage buildings compared to those that were completely destroyed?  GSD = 1.8769937 m/pixel.,M1,
351,Provide the bounding boxes of all fully destroyed buildings and compute their combined footprint area in square meters. Given GSD=1.8769937,D+M1,
352,"Count the no-damage and destroyed buildings? and if each rescue unit can inspect ten damaged buildings, how many units are needed to cover all destroyed structures?",M2,
353,"Based on the destroyed buildings combined area, what is the total ground area destroyed in post image and what is the average area lost per destroyed structure? Given GSD=2.8247435",M1,
354,Count number of destroyed buildings in the post disaster image.,M2,
355,"Using the change report between the two images, calculate what percentage of the buildings present before the event have disappeared in the post-event view.",M2,
356,"List the bounding box coordinates of buildings that were visible before the disaster but are missing afterward, then estimate the average ground area in square meters of those destroyed structures. GSD=1.8769937",D+M1,
357,"Determine how many buildings remain intact in the post-event image, compare that to the total number of buildings detected in the pre-event image, and express the result as a simplified fraction.",M2,
358,Divide the scene into four equal quadrants and identify which quadrant shows the highest count of buildings that were present before but no longer appear after the disaster. Given Image size: 1024x1024,M2,
359,"How many buildings are classified as destroyed in the post-event image, and what is the ratio of destroyed buildings to the total number of buildings?",M2,
360,What percentage of all buildings in the post scene were completely destroyed by the disaster event?,M2,
361,How many buildings destroyed in the post-disaster image?,M2,
362,"Using the pre- and post-event images, what percentage of all buildings visible before the flood are classified as destroyed afterward?",M2,
363,"How many more buildings show major damage compared to those showing no damage in the post-flood image, and what fraction of the total pre-flood building count does that difference represent?",M2,
364,What is the smallest straight-line distance between any no-damage building and any destroyed building in the post-event scene?,M1,
365,What percentage of the total buildings in pre-event image have been completely destroyed in post-event image?,M2,
366,"By summing their ground area, which group covers more area: completely destroyed buildings region or those of minor-damage building region? Given GSD=1.4085245",M1,
367,"Assuming each fully destroyed building sheltered four households, estimate how many families are now displaced and require emergency lodging.",M2,
368,"Detect total buildings in the pre and post images, how many buildings from the pre image get destroyed in the post image?",M2,
369,"Consider change between pre and post images and detect minor-damage and destroyed buildings in the post image, and compute the ratio of number of destroyed buildings to the minor-damage buildings.",M2,
370,"In post image, how many buildings were destroyed by the wildfire compared to the pre image? If each destroyed building requires 50 labor-hours for inspection, estimate the total labor-hours needed for post-disaster building inspections.",M2,
371,"Describe the change in pre and post images. If two rescue team per building, then how many teams need to be deployed in the region to help the disaster victims?.",D+M2,
372,Identify the L building cluster in center of the post image. Compute the area of the L-shaped building cluster in square meters. Empty space within the cluster can be considered in the area calculations. Given GSD=3.024613,M1,
373,Describe the change in the pre and post images. How many buildings are majorly damaged in the post image? Estimate the total number of displaced households if each damaged building belongs to two families.,D+M2,
374,Detect all destroyed buildings in the post image. Calculate total area of destroyed buildings and compare it with the area of total buildings in pre image. Calculate the net loss in area in square meters. Given GSD=3.024613,M1,
375,"Detect two largest destroyed buildings in post image, and then calculate the average area of these top two damage zones. Given GSD=3.024613",M1,
376,How many buildings in post image identifies as destroyed? and how many 4-person response teams would be required for help if each team can inspect up to five destroyed buildings?,M2,
377,"Divide the image into four quadarants, identify the no-damage, minor damage, major damage and destroyed buildings in each quadarants. Calculate which quadarant has ratio of destroyed to no-damage buildings ratio.",M2,
378,"Within the upper half of the post image, how many buildings remain no-damage, and what percentage of all no-damage buildings in the image does that subset constitute?",M2,
379,Calculate the ratio of the major damaged buildings in post image to the total buildings in post image.,M2,
380,Estimate the total ground area in square meters lost to destroyed buildings by comparing the pre-storm and post-storm building areas. Given GSD=3.024613,M1,
381,"If each inspection team can check ten damaged buildings per day, how many team-days are needed to survey all damaged buildings in the post image?",M2,
382,How many buildings destroyed in the post image compared to pre image?,M2,
383,What percentage of the overall built-up area was lost in terms of destroyed buildings as a result of the wildfire event?,M2,
384,"If each destroyed building requires a 30-minute structural survey, what is the total surveying time needed for all the destroyed buildings?",M2,
385,Which destroyed building has the largest estimated area in square meters? Given GSD=1.8769937,M1,
386,How many buildings that appeared no-damage in pre image now exhibit major damage in post image?,M2,
387,Which quadrant of the post image contains the highest concentration of damaged buildings? Given: Imagesize=1024x1024,M2,
388,What is the ratio of buildings with minor damage to those with major damage in the post-event image?,M2,
389,"Assuming each rescue team can inspect two damaged buildings per hour, estimate the total number of team-hours required to survey all damaged buildings in the post image.",M2,
390,What proportion of all buildings visible in the pre-event image are classified as major damaged in the post-event image?,M2,
391,"If survey teams can cover 500 square meters of damaged area per day, estimate how many team-days are needed to assess all damaged buildings identified in the post image after the event. Given GSD=2.0916247",M1+M2,
392,"Which quadrant of the post image contains the highest number of majorly damaged buildings, and how many such buildings are in that quadrant? Given, Imagesize=1024x1024",M2,
393,What percentage of the total buildings present in the pre image before the event ended up completely destroyed in the post-event image?,M2,
394,What is the average ground-area in square meters lost for each structure that was classified as completely destroyed? Given GSD=1.8769937,M1,
395,"If each destroyed building requires a ten-person assessment crew, how many assessors are needed in total to cover all destroyed structures?",M2,
396,"When the scene is divided into four equal quadrants, which quadrant experienced the highest count of destroyed buildings and what is that count? Given: Imagesize=1024x1024",M2,
397,What is the mean distance from the center of the scene to the centroids of all destroyed structures?,M1,
398,What percentage of all buildings in the scene ended up suffering major structural failure after the event?,M2,
399,"Compute the total ground area (in square meters) covered by severely damaged structures, taking into account the image's resolution. Given GSD=2.0916247",M1,
400,"First, segment the road roundabout to get its pixel count. Then convert that pixel count into an area in square meters using a ground sampling distance of 0.139152881468 m/pixel. From the obtained area, calculate radius of a circle.",M1,
401,"First, segment the road roundabout to get its pixel count. Then convert that pixel count into an area in square meters using a ground sampling distance of 0.139152881468 m/pixel. What would be the pixel count if segmented roundabout area were increased by 25%?",M1,
402,"Segment the road roundabout and obtain its total pixel count. Using a GSD of 0.139152881468 m/pixel, calculate its radius in meters. Then determine how many pixels would cover the same circular area if the GSD were halved.",M1,
403,Segment the road roundabout and measure its pixel area. Convert that pixel count to square meters using a ground sample distance of 0.132599419033 m/pixel. Then solve for the true radius (in meters) assuming a perfect circle.,M1,
404,Segment all small vehicles in the image and measure its pixel count. Calculate average pixel count and convert it to square meters using a GSD of 0.139405284519 m/pixel. Determine how many of these average-area vehicles can park bumper-to-bumper along a 500 square meters area.,M1,
405,"Segment a single vehicle in the image and a ground sampling distance of 0.1403 m/pixel, compute its real-world area in square meters (from pixel count) and then solve for its average width in meters assuming its length is twice its width.",M1,
406,"A parking zone has an available area of 40 m sq. Using the vehicle's segmented pixel footprint and a GSD of 0.1403 m/pixel, determine how many such vehicles can fit into that zone, rounding down to the nearest whole number.",M1,
407,"From the segmented region of the vehicle and a GSD of 0.1403 m/pixel, derive the pixel dimensions of its width and length assuming a 2:1 length-to-width ratio.",M1,
408,Segment all small-vehicles and get the pixel count for each segmented small vehicle. Calculate the total real-world area they cover in square meters and then determine the mean footprint per vehicle. GSD: 0.125783611073 m/pixel,M1,
409,Segment all vehicles in image and get the pixel count for each of the segmented vehicle. Compute the total area of all the segmented vehicles using GSD: 0.125783611073 m/pixel. Calculate the side length of a perfect square having that same area in meters.,M1,
410,"At a ground sampling distance of 0.12399158194 m/px, segment all vehicles in the scene, extract each object's pixel footprint, convert those pixel counts into square meters, and compute the average area per vehicle in m sq.",M1,
411,"Using a GSD of 0.12399158194 m/px, segment all vehicles in the image to find the smallest and largest vehicle footprints in pixel counts, convert both values into m sq, and calculate the ratio of the largest area to the smallest.",M1,
412,"Given a GSD of 0.12399158194 m/px, segment every vehicle, work out how many occupy fewer than 600 pixels, translate that 600‑pixel threshold into square metres, and determine what percentage of the total vehicles that represents.",M1+M2,
413,"At a ground sampling distance of 0.12399158194 m/px, segment all vehicles, sum their pixel counts to obtain a cumulative area, convert to m sq, and calculate the side length of a perfect square whose area equals that combined vehicle footprint.",M1,
414,"Segment both small vehicles, list their pixel footprints, convert each to square metres with GSD = 0.127671143642 m/px, and solve what percentage of a 40 m-sq parking stall their combined area occupies.",M1,
415,"Segment the larger vehicle, record its pixel area, convert to m-sq at GSD = 0.127671143642 m/px, then find the side length of a square having that same area.",M1,
416,"Segment all small vehicles, convert their pixel areas to square meters with GSD = 0.127671143642 m/px, and compute by what percentage the larger footprint exceeds the smaller.",M1,
417,"Segment the all vehicles, convert their pixel areas to square meters (GSD = 0.127671143642 m/px), and determine how many whole copies of the smaller vehicle footprint fit inside the larger.",M1,
418,"Segment all vehicles, sum their pixel areas, convert the total pixel count to square meters with GSD = 0.1256 m/px, and report that ground coverage.",M1,
419,"Segment every vehicle, convert each pixel area to m-sq with GSD = 0.125241336251 m/px, determine the pixel threshold that equals 9 m-sq, and count vehicles exceeding that threshold.",M1+M2,
420,"Sum all vehicle pixel areas from segmentation, convert to m-sq with GSD = 0.125241336251 m/px, and express that total as a percentage of a 200 m-sq reference area.",M1,
421,"Identify the smallest vehicle by pixel area, convert to m-sq (GSD = 0.125241336251 m/px), and calculate how many extra pixels it would need to reach 15 m-sq.",M1,
422,"Compute the average vehicle pixel area, then solve for the GSD that would make that average equal exactly 10 m sq, and express the percentage difference from 0.125241336251 m/px.",M1,
423,"Segment all small vehicles, sum their pixel areas, convert the total to m-sq using GSD = 0.125083119972 m/px, and report the combined ground area.",M1,
424,"Detect all small-vehicles. Compute the centroid distance for every pair in pixels, convert those distances to metres (GSD = 0.125083119972 m/px), and state the minimum gap between any two vehicles.",M1,
425,"Segment all vehicles, convert each pixel area to m-sq (GSD = 0.125083119972 m/px), and count how many exceed 10 m-sq.",M1+M2,
426,"Segment vehicles, find their average pixel area, and determine the maximum integer n such that n x average_pixel_area <= 20 000 pixels (empty lot); state n after converting average_pixel_area to m-sq (GSD = 0.125083119972 m/px).",M1,
427,"Segment the smallest vehicle, convert its pixel area to m sq (GSD = 0.125083119972 m/px), model it as a circle, and solve for the circle radius in metres.",M1,
428,"Segment each small vehicle, convert every pixel area to m-sq with GSD = 0.125779850308 m/px, and compute the radius of a circle whose area equals each vehicle footprint.",M1,
429,"Extract bounding boxes of the two nearest vehicles, measure the centroid distance in pixels, and convert that value to metres using GSD = 0.125779850308 m/px.",M1,
430,"Segment all vehicles, sum their pixel areas, convert to m-sq (GSD = 0.125779850308 m/px), and determine how many standard 10 m-sq parking spots equal that combined area.",M1,
431,"Segment every large vehicle, sum pixel areas, convert the total to square meters with GSD = 0.12713173457 m/px.",M1,
432,"Segment each large vehicle, find the one with the greatest pixel area, convert that area to m-sq (GSD = 0.12713173457 m/px), and solve the side length of a square with the same area.",M1,
433,"Segment all large vehicles, identify the smallest and largest pixel areas, convert both to m-sq with GSD = 0.12713173457 m/px, and give the ratio smallest : largest in simplest form.",M1,
434,"Segment all vehicles, convert its total pixel area to m-sq (GSD = 0.1393 m/px)",M1,
435,"Segment all small vehicles, sum their pixel areas, convert to m-sq using GSD = 0.136569405667 m/px, and state what fraction of a hectare (10 000 m-sq) they cover.",M1,
